Var1,Var2,Var3
83332.Rv2593c,83332.Rv2594c,999
83332.Rv2594c,83332.Rv2592c,999
83332.Rv2594c,83332.Rv2593c,999
83332.Rv2604c,83332.Rv2606c,999
83332.Rv2606c,83332.Rv2604c,999
83332.Rv2674,83332.Rv0137c,997
83332.Rv2678c,83332.Rv0510,997
83332.Rv2753c,83332.Rv2773c,998
83332.Rv2763c,83332.Rv2764c,999
83332.Rv2764c,83332.Rv2763c,999
83332.Rv2773c,83332.Rv2753c,998
83332.Rv2832c,83332.Rv2834c,997
83332.Rv2832c,83332.Rv2835c,996
83332.Rv2833c,83332.Rv2834c,998
83332.Rv2833c,83332.Rv2835c,998
83332.Rv2834c,83332.Rv2832c,997
83332.Rv2834c,83332.Rv2833c,998
83332.Rv2834c,83332.Rv2835c,996
83332.Rv2835c,83332.Rv2832c,996
83332.Rv2835c,83332.Rv2833c,998
83332.Rv2835c,83332.Rv2834c,996
83332.Rv2868c,83332.Rv2870c,996
83332.Rv2870c,83332.Rv2868c,996
83332.Rv2889c,83332.Rv2890c,997
83332.Rv2890c,83332.Rv2889c,997
83332.Rv2916c,83332.Rv0703,999
83332.Rv2916c,83332.Rv2441c,999
83332.Rv2916c,83332.Rv2442c,999
83332.Rv2919c,83332.Rv2920c,999
83332.Rv2920c,83332.Rv2919c,999
83332.Rv2936,83332.Rv2937,999
83332.Rv2936,83332.Rv2938,998
